Id,Title,Industry,Job type,Company,Salary,Grade,Deadline,days left,email,recruitername,Stage,Interview date,Starting date,applied,Link,Location,Score
47,graduate-business-analysts-mandarin-speakers-flexible-start-dates, ,graduate-job,tpp,"£50,000 + benefits",2:1,Ongoing, , , , , ,TBC,no,https://www.gradcracker.com/out/578?jobID=18467&u=https%253A%252F%252Ftpp-careers.com%252Froles%252Fbusiness-analysts-mandarin-speaking%252F&signature=56f054d29284aafda8ab37d80a7d2382b0b793c1c17a63e49328f9c3e42c2197,Leeds,0
48,graduate-modellers-oxford, ,graduate-job,aurora-energy-research,Competitive + benefits,2:2,31-5-2023, , , , , ,TBC,no,https://www.gradcracker.com/out/1119?jobID=51925&u=https%253A%252F%252Fauroraer.com%252Fcareers%252Fgraduate-programmes%252Foxford-modelling-2023%252F&signature=9627070413b22de574fab54944814a49efc6e6cb00c467496b488af1984f6faf,Oxford,0
49,senior-energy-modeller-oxford, ,graduate-job,aurora-energy-research,Competitive + benefits, ,31-5-2023, , , , , ,TBC,no,https://www.gradcracker.com/out/1119?jobID=52013&u=https%253A%252F%252Fwww.irishrcloud.co.uk%252Frecruit%252Fapplication%252Fapply.aspx%253Fcid%253D2632-393F3F89-B63D-4892-A93B-00402FCF3A88%2526VacancyID%253D23378-A6B61F29-4F31-449E-B511-B877A42771A3&signature=f1d473dc63748752146849812649930f52250b9901b5711e8870163ea70ac07f,Oxford,0
50,junior-data-analyst-typhoon-analysis-software-support, ,graduate-job,qinetiq,Competitive + benefits,all grades,31-5-2023, , , , , ,TBC,no,https://www.gradcracker.com/out/137?jobID=52429&u=https%253A%252F%252Fcareers.qinetiq.com%252Fjob%252FConingsby-Junior-Data-Analyst-Typhoon-Analysis-Software-Support-Engl%252F904027901%252F&signature=36fc6dbaf8e999192e46dd6a727ee1362619070a21ce2a4b56b38dcc3c0c81aa,RAF Coningsby (Lincolnshire),0
51,software-developer, ,graduate-job,graduates-into-health,"£33,706 - £40,588",all grades,18-6-2023, , , , , ,TBC,no,https://www.gradcracker.com/out/748?jobID=52081&u=https%253A%252F%252Fwww.graduatesintohealth.co.uk%252Fsoutheastsouthwest%252F2023%252F2%252F10%252Fsoftware-developer-sittingbourne-kent&signature=a9c3b35dd8040653e068c2276df0ed70b1a7fc74c4daeb6bd33c6ef4ab50e764,Sittingbourne (Kent),0
52,graduate-automation-software-engineer, ,graduate-job,briggs-of-burton,Competitive + benefits,all grades,Ongoing, , , , , ,TBC,no,https://www.gradcracker.com/hub/1072/briggs-of-burton/graduate-job/52605/graduate-automation-software-engineer,Burton-on-Trent,0
53,research-advisory-graduate-analyst, ,graduate-job,aurora-energy-research,Competitive + benefits,2:1,Ongoing, , , , , ,TBC,no,https://www.gradcracker.com/out/1119?jobID=52513&u=https%253A%252F%252Fwww.irishrcloud.co.uk%252Frecruit%252Fapplication%252Fapply.aspx%253Fcid%253D2632-393F3F89-B63D-4892-A93B-00402FCF3A88%2526VacancyID%253D23384-072083BE-EE77-4007-8711-FEE9B26E63AF&signature=aa1afe8a344f93ae129058831ab065fd53e0248b3b5e162974ec7a334e6c68cd,"Austin, Texas (USA)",0
54,graduate-trainee-engineer-smart-connected-and-autonomous-vehicles, ,graduate-job,wmg-university-of-warwick,"£28,929 + benefits",2:1,31-5-2023, , , , , ,TBC,no,https://www.gradcracker.com/out/861?jobID=50584&u=https%253A%252F%252Fwarwick.ac.uk%252Ffac%252Fsci%252Fwmg%252Fcareers%252Fgs%252Fregister%252F&signature=8c7088d2ed1e1ba027cb19bc4b6292c021e93822780061c11eb985687c30ca02,West Midlands,0
55,software-engineer, ,graduate-job,g-research,Competitive + benefits,all grades,Ongoing, , , , , ,TBC,no,https://www.gradcracker.com/out/347?jobID=46799&u=https%253A%252F%252Fwww.gresearch.co.uk%252Frole%252FR1424-Software-Engineer%252F&signature=06c5e51196a940038b29303e12ca8266901a30c5daf14154d051eb7dd87be53a,London,0
56,research-project-new-processes-to-enable-x-in-the-loop-simulations-for-the-reduction-of-vehicle-prototypes, ,graduate-job,aaps-centre-for-doctoral-training,"Payment of a tax-free maintenance stipend - £18,622 pa + training support fund (£1,000/year) + benefits",2:1,5-6-2023, , , , , ,TBC,no,https://www.gradcracker.com/hub/1172/aaps-centre-for-doctoral-training/graduate-job/52098/research-project-new-processes-to-enable-x-in-the-loop-simulations-for-the-reduction-of-vehicle-prototypes,Bath,0
57,graduate-machine-learning-data-scientist, ,graduate-job,cambridge-consultants,Competitive + benefits,2:1,30-6-2023, , , , , ,TBC,no,https://www.gradcracker.com/out/1088?jobID=47789&u=https%253A%252F%252Fcareers.cambridgeconsultants.com%252Ffind-a-job%252F1655%252Fgraduate-machine-learning-data-scientist%253Fsearch%253Dhttps%25253A%25252F%25252Fwww.cambridgeconsultants.com%25252Fcareers%25252Fsearch%25253Fq%25253DGraduate%252526idx%25253Dprod_CCL_careers%252526p%25253D0%252526dFR%2525255Bfield_location%2525255D%2525255B0%2525255D%25253DCambridge%2525252C%25252520UK%252526button%25253D&signature=9cd900ad90e051583395536fd275ec47a49267d1d5121dc446714fe2abdeae05,Cambridge,0
58,graduate-software-developer, ,graduate-job,reply,Competitive + benefits,2:1,Ongoing, , , , , ,TBC,no,https://www.gradcracker.com/out/691?jobID=52499&u=https%253A%252F%252Fcareer012.successfactors.eu%252Fcareer%253Fcareer%25255fns%253Djob%25255flisting%2526company%253DC0004534147P%2526navBarLevel%253DJOB%25255fSEARCH%2526rcm%25255fsite%25255flocale%253Den%25255fGB%2526career_job_req_id%253D9683%2526selected_lang%253Den_GB%2526jobAlertController_jobAlertId%253D%2526jobAlertController_jobAlertName%253D%2526browserTimeZone%253DEurope%252FLondon%2526_s.crb%253DygpNgIb2KbqmP3bgqeuuk31uA9cMr3qSF%25252fwcXq6NO0M%25253d&signature=4cdd6261b5edd8ccd3b6ca39c2cf19561ca1f83825ff4402360b5740f406051d,Manchester (Hybrid),0
59,bi-developer, ,graduate-job,graduates-into-health,"£25,655 - £31,534 (dependent on experience) + benefits",all grades,Ongoing, , , , , ,TBC,no,https://www.gradcracker.com/out/748?jobID=49907&u=https%253A%252F%252Fwww.graduatesintohealth.co.uk%252Fplymouth-recruitment-campaign%252F2022%252F6%252F21%252Fdata-warehouse-developer&signature=6ee0809dd1202849a7c115ed6de3510375b4c21d6d2dc8b9d5402a80a3dcf898,Plymouth (Hybrid),0
60,graduate-software-developers-flexible-start-dates, ,graduate-job,tpp,"£50,000 + benefits",2:1,Ongoing, , , , , ,TBC,no,https://www.gradcracker.com/out/578?jobID=32514&u=https%253A%252F%252Ftpp-careers.com%252Froles%252Fsoftware-developer%252F&signature=e7f0b7e2fa83d7a863269bcc1043b3baa06d982b9beadfb1896a3207f8bb07a3,Leeds,0
